grupo_edad,consultas_vih,cd4_promedio,casos_cd4_bajo,defunciones_vih
00_17,16.0,0.18685997910135843,2.0,15.0
18_24,222.0,0.15334125025571374,635.0,97.0
25_34,780.0,0.1458479313939455,1939.0,688.0
35_44,809.0,0.12803731523129194,1088.0,643.0
45_54,736.0,0.10955798673388951,475.0,507.0
55_64,391.0,0.08286580365837934,172.0,305.0
65_MAS,130.0,0.11198275862068965,21.0,202.0
