sexo_etiqueta,consultas_vih,cd4_promedio,casos_cd4_bajo,defunciones_vih
FEMENINO_MUJER,480.0,0.12212570158249297,361.0,339.0
MASCULINO_HOMBRE,2604.0,0.14037787144396546,3971.0,2118.0
