periodo,consultas_vih,cd4_promedio,casos_cd4_bajo,defunciones_vih,pct_reactivas_consejeria_promedio
PANDEMIA,579.0,0.1279989399236308,1289.0,664.0,13.737500000000004
POSTPANDEMIA,2325.0,0.1304911971523471,2700.0,1179.0,10.879999999999997
PREPANDEMIA,180.0,0.19155412422044674,343.0,614.0,11.64285714285714
